[    2941ms] [LOG]   gondangdia: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    2990ms] [LOG]   gondangdia: 115 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3014ms] [LOG]   grogol: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    3057ms] [LOG]   grogol: 30 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3091ms] [LOG]   jakarta_international_stadium: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    3143ms] [LOG]   jakarta_international_stadium: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3174ms] [LOG]   jakarta_kota: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    3249ms] [LOG]   jakarta_kota: 59 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3285ms] [LOG]   jatake: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    3323ms] [LOG]   jatake: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3355ms] [LOG]   jatinegara: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    3392ms] [LOG]   jatinegara: 14 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3426ms] [LOG]   jayakarta: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    3476ms] [LOG]   jayakarta: 23 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3517ms] [LOG]   juanda: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    3609ms] [LOG]   juanda: 49 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3642ms] [LOG]   jurangmangu: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    3693ms] [LOG]   jurangmangu: 14 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3726ms] [LOG]   kalideres: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    3772ms] [LOG]   kalideres: 3 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3809ms] [LOG]   kampung_bandan: isochrone rendered @ http://localhost:8083/map-check.local.html:79
